	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass	station	binned_o2
4	4	mn01	n1	Pleuroncodes	130.85205047879998	10.4264694458	35.0882803738	14.7056635514	14.2710280374	26.3328733589	D	offshore	0.0	0.0	-10.888	-78.5685	0.0	0.0	station 1	(10, 20]
9	9	mn01	n2	Pleuroncodes	101.48451751639999	11.133231136700001	35.1049	15.076260000000001	23.32	38.760237959	D	offshore	0.0	0.0	-10.888	-78.5685	0.0	0.0	station 1	(10, 20]
14	14	mn01	n3	Pleuroncodes	63.960425997	20.0589397988	35.1263058824	15.7221058824	14.364705882400001	28.7271359427	D	offshore	0.0	0.0	-10.888	-78.5685	0.0	0.0	station 1	(20, 50]
19	19	mn01	n4	Pleuroncodes	42.5974489467	32.365275661	35.1512873563	16.6645977011	11.9885057471	17.4966551258	D	offshore	0.0	0.0	-10.888	-78.5685	0.0	0.0	station 1	(20, 50]
24	24	mn01	n5	Pleuroncodes	14.418842233800001	180.3066494482	35.3554513274	20.0139557522	21.6814159292	32.014790997199995	D	offshore	0.0	0.0	-10.888	-78.5685	0.0	0.0	station 1	(150, 250]
29	29	mn02	n1	Pleuroncodes	131.9385968901	8.5023407233	35.0675147059	14.699191176500001	10.3970588235	25.5379976571	N	offshore	0.0	0.0	-10.950999999999999	-78.564	0.0	0.0	station 1	(0, 10]
34	34	mn02	n2	Pleuroncodes	97.89823301879998	9.8473484649	35.0844545455	15.044810606099999	25.75	38.8596964645	N	offshore	0.0776699029	1.3786536031	-10.950999999999999	-78.564	3.0182288516000004	53.574060547100004	station 1	(0, 10]
39	39	mn02	n3	Pleuroncodes	65.0346851569	15.2877598738	35.0997011494	15.514183908	16.6091954023	27.8324908998	N	offshore	0.0	0.0	-10.950999999999999	-78.564	0.0	0.0	station 1	(10, 20]
44	44	mn02	n4	Pleuroncodes	40.8677559358	21.6157993138	35.1244158416	16.1043465347	16.5544554455	16.9995819881	N	offshore	0.0	0.0	-10.950999999999999	-78.564	0.0	0.0	station 1	(20, 50]
49	49	mn02	n5	Pleuroncodes	18.409718931300002	145.47364874870001	35.2596947368	19.1879473684	15.778947368399999	32.114167543200004	N	offshore	0.0	0.0	-10.950999999999999	-78.564	0.0	0.0	station 1	(50, 150]
54	54	mn03	n1	Pleuroncodes	40.4711362419	29.2772866198	35.161884058000005	16.271115942	11.753623188399999	9.2454528993	D	onshore	0.0	0.0	-10.761	-78.271	0.0	0.0	station 2	(20, 50]
59	59	mn03	n2	Pleuroncodes	36.119247010500004	33.5046358602	35.1781212121	16.500999999999998	17.9494949495	4.1754599434	D	onshore	0.05571187389999999	12.552049756199999	-10.761	-78.271	0.23262269800000002	52.4105809641	station 2	(20, 50]
64	64	mn03	n3	Pleuroncodes	30.9395026568	47.84781034109999	35.1757272727	17.1004363636	7.472727272699999	8.6493913726	D	onshore	0.0	0.0	-10.761	-78.271	0.0	0.0	station 2	(20, 50]
69	69	mn03	n4	Pleuroncodes	24.1630376536	103.7105011632	35.158326087	17.812782608699997	8.1195652174	7.2578238674	D	onshore	0.0	0.0	-10.761	-78.271	0.0	0.0	station 2	(50, 150]
