,"Unnamed: 0","haul","net","category","depth","o2","salinity","temp","volume","depth_layer","D_N","on_off","abundance","biomass","latitude","longitude","integrated_abundance","integrated_biomass","station"
0,0,"mn01","n1","Calanoida",130.8520504788,10.4264694458,35.0882803738,14.7056635514,14.2710280374,26.3328733589,"D","offshore",68.8107400131,2.188742939,-10.888,-78.5685,1811.9845024942,57.6358906286,"station 1"
5,5,"mn01","n2","Calanoida",101.4845175164,11.1332311367,35.1049,15.07626,23.32,38.760237959,"D","offshore",107.8044596913,3.2348448597,-10.888,-78.5685,4178.5265106735,125.3833565223,"station 1"
10,10,"mn01","n3","Calanoida",63.960425997,20.0589397988,35.1263058824,15.7221058824,14.3647058824,28.7271359427,"D","offshore",370.0737100737,25.7779977519,-10.888,-78.5685,10631.1577780967,740.5280457493,"station 1"
15,15,"mn01","n4","Calanoida",42.5974489467,32.365275661,35.1512873563,16.6645977011,11.9885057471,17.4966551258,"D","offshore",424.2396931927,31.5677258454,-10.888,-78.5685,7422.7756024559,552.3296122226,"station 1"
20,20,"mn01","n5","Calanoida",14.4188422338,180.3066494482,35.3554513274,20.0139557522,21.6814159292,32.0147909972,"D","offshore",568.9665306122,10.8506183481,-10.888,-78.5685,18215.3445619306,347.3802786055,"station 1"
25,25,"mn02","n1","Calanoida",131.9385968901,8.5023407233,35.0675147059,14.6991911765,10.3970588235,25.5379976571,"N","offshore",23.6605374823,4.3161511611,-10.951,-78.564,604.2427507884,110.2258582389,"station 1"
30,30,"mn02","n2","Calanoida",97.8982330188,9.8473484649,35.0844545455,15.0448106061,25.75,38.8596964645,"N","offshore",122.2524271845,5.1112980024,-10.951,-78.564,4750.6922124343,198.6234889145,"station 1"
35,35,"mn02","n3","Calanoida",65.0346851569,15.2877598738,35.0997011494,15.514183908,16.6091954023,27.8324908998,"N","offshore",230.9564013841,24.1035056719,-10.951,-78.564,6428.0919397748,670.8606022667,"station 1"
40,40,"mn02","n4","Calanoida",40.8677559358,21.6157993138,35.1244158416,16.1043465347,16.5544554455,16.9995819881,"N","offshore",138.0897129187,7.8786822402,-10.951,-78.564,2347.46739648,133.9343047008,"station 1"
45,45,"mn02","n5","Calanoida",18.4097189313,145.4736487487,35.2596947368,19.1879473684,15.7789473684,32.1141675432,"N","offshore",683.8859239493,20.3988699591,-10.951,-78.564,21962.4271421639,655.0927275607,"station 1"
50,50,"mn03","n1","Calanoida",40.4711362419,29.2772866198,35.161884058,16.271115942,11.7536231884,9.2454528993,"D","onshore",144.2959309494,13.1915802117,-10.761,-78.271,1334.0812331494,121.9621335139,"station 2"
55,55,"mn03","n2","Calanoida",36.1192470105,33.5046358602,35.1781212121,16.501,17.9494949495,4.1754599434,"D","onshore",177.8880135059,21.3189718036,-10.761,-78.271,742.7642748006,89.0165127997,"station 2"
60,60,"mn03","n3","Calanoida",30.9395026568,47.8478103411,35.1757272727,17.1004363636,7.4727272727,8.6493913726,"D","onshore",441.204379562,18.3668195384,-10.761,-78.271,3816.149354119,158.8618104564,"station 2"
65,65,"mn03","n4","Calanoida",24.1630376536,103.7105011632,35.158326087,17.8127826087,8.1195652174,7.2578238674,"D","onshore",604.5890227577,19.6699728507,-10.761,-78.271,4388.000639366,142.7611984277,"station 2"
70,70,"mn03","n5","Calanoida",11.4060245006,156.4339929161,35.2784081633,18.9298163265,4.9795918367,17.6982626184,"D","onshore",467.7090163934,17.1642366859,-10.761,-78.271,8277.6370011112,303.7771685102,"station 2"
75,75,"mn04","n1","Calanoida",41.579402326,28.4519584383,35.1533968254,16.1602539683,9.5238095238,11.730714388,"N","onshore",133.98,11.2838183652,-10.778,-78.27,1571.6811137005,132.3672504483,"station 2"
80,80,"mn04","n2","Calanoida",34.648608046,31.5404599299,35.1654509804,16.300372549,8.6862745098,4.1754989203,"N","onshore",207.914221219,16.3052052338,-10.778,-78.27,868.1456062058,68.0823668485,"station 2"
85,85,"mn04","n3","Calanoida",31.02582069,63.3316869332,35.17645,17.39465,6.525,1.690109527,"N","onshore",428.6590038314,17.6397658639,-10.778,-78.27,724.4806662254,29.8131363413,"station 2"
90,90,"mn04","n4","Calanoida",26.7498646615,109.1551395845,35.1643061224,17.9041836735,8.4285714286,7.8542059575,"N","onshore",174.8813559322,15.3708052925,-10.778,-78.27,1373.5541876266,120.7254705004,"station 2"
