	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass
1	1	mn01	n1	Eucalanidae	130.85205047879998	10.4264694458	35.0882803738	14.7056635514	14.2710280374	26.3328733589	D	offshore	12.1224623445	2.0253920830000003	-10.888	-78.5685	319.2192657143	53.3343932233
6	6	mn01	n2	Eucalanidae	101.48451751639999	11.133231136700001	35.1049	15.076260000000001	23.32	38.760237959	D	offshore	31.2607204117	5.9366142096	-10.888	-78.5685	1211.6729619256	230.104579433
11	11	mn01	n3	Eucalanidae	63.960425997	20.0589397988	35.1263058824	15.7221058824	14.364705882400001	28.7271359427	D	offshore	63.9066339066	29.708471285799998	-10.888	-78.5685	1835.8545598745002	853.4392932753999
16	16	mn01	n4	Eucalanidae	42.5974489467	32.365275661	35.1512873563	16.6645977011	11.9885057471	17.4966551258	D	offshore	127.205177373	56.6747655038	-10.888	-78.5685	2225.6651187073003	991.6188263536
21	21	mn01	n5	Eucalanidae	14.418842233800001	180.3066494482	35.3554513274	20.0139557522	21.6814159292	32.014790997199995	D	offshore	130.8955102041	32.2794617981	-10.888	-78.5685	4190.5924016504	1033.4202229679
26	26	mn02	n1	Eucalanidae	131.9385968901	8.5023407233	35.0675147059	14.699191176500001	10.3970588235	25.5379976571	N	offshore	5.2899575672	3.1562908616	-10.950999999999999	-78.564	135.09492395680002	80.6053486297
31	31	mn02	n2	Eucalanidae	97.89823301879998	9.8473484649	35.0844545455	15.044810606099999	25.75	38.8596964645	N	offshore	16.2718446602	3.9325650922000004	-10.950999999999999	-78.564	632.3189444123001	152.8182858105
36	36	mn02	n3	Eucalanidae	65.0346851569	15.2877598738	35.0997011494	15.514183908	16.6091954023	27.8324908998	N	offshore	67.0712802768	27.9187914887	-10.950999999999999	-78.564	1866.7607979429001	777.0495100422
41	41	mn02	n4	Eucalanidae	40.8677559358	21.6157993138	35.1244158416	16.1043465347	16.5544554455	16.9995819881	N	offshore	71.3403110048	24.397875926100003	-10.950999999999999	-78.564	1212.7554659855	414.7536921425
46	46	mn02	n5	Eucalanidae	18.409718931300002	145.47364874870001	35.2596947368	19.1879473684	15.778947368399999	32.114167543200004	N	offshore	114.07605070049999	34.3594198573	-10.950999999999999	-78.564	3663.4574048646996	1103.4241659844001
51	51	mn03	n1	Eucalanidae	40.4711362419	29.2772866198	35.161884058000005	16.271115942	11.753623188399999	9.2454528993	D	onshore	16.2503082614	7.7091262262	-10.761	-78.271	150.2414596294	71.2743634193
56	56	mn03	n2	Eucalanidae	36.119247010500004	33.5046358602	35.1781212121	16.500999999999998	17.9494949495	4.1754599434	D	onshore	25.6274620146	9.5709375393	-10.761	-78.271	107.0064410925	39.963066316
61	61	mn03	n3	Eucalanidae	30.9395026568	47.84781034109999	35.1757272727	17.1004363636	7.472727272699999	8.6493913726	D	onshore	30.9124087591	1.7283629979	-10.761	-78.271	267.3735216262	14.9492880028
66	66	mn03	n4	Eucalanidae	24.1630376536	103.7105011632	35.158326087	17.812782608699997	8.1195652174	7.2578238674	D	onshore	73.8955823293	8.9128758007	-10.761	-78.271	536.3211211285	64.6880827138
71	71	mn03	n5	Eucalanidae	11.4060245006	156.4339929161	35.2784081633	18.9298163265	4.9795918367	17.698262618399998	D	onshore	52.012295082	12.1814831941	-10.761	-78.271	920.5272577449	215.59108864970003
76	76	mn04	n1	Eucalanidae	41.579402326	28.4519584383	35.1533968254	16.160253968299997	9.5238095238	11.730714387999999	N	onshore	9.555	2.5175469053999997	-10.777999999999999	-78.27	112.0869759771	29.5326237061
81	81	mn04	n2	Eucalanidae	34.648608046	31.5404599299	35.1654509804	16.300372549000002	8.6862745098	4.1754989203	N	onshore	13.8148984199	1.699326643	-10.777999999999999	-78.27	57.684093435600005	7.0955365631
86	86	mn04	n3	Eucalanidae	31.02582069	63.3316869332	35.17645	17.39465	6.525	1.690109527	N	onshore	82.9118773946	4.4436774869999995	-10.777999999999999	-78.27	140.1301538891	7.5103016559
91	91	mn04	n4	Eucalanidae	26.749864661500002	109.1551395845	35.1643061224	17.9041836735	8.4285714286	7.8542059575	N	onshore	19.2203389831	8.0989962899	-10.777999999999999	-78.27	150.9605009467	63.6111849101
96	96	mn04	n5	Eucalanidae	12.9462798821	151.2555683434	35.2975588235	19.0531323529	13.1911764706	21.3769361532	N	onshore	69.5161649944	19.782985275599998	-10.777999999999999	-78.27	1486.0426206980999	422.89961315529996
